spot,A,B,C,D,E,F,G,H,I,J
0.01747915902505673x0.9921368285185058x1,1.2762231,3.3680634,2.31986,1.5161526,4.514433,6.0685725,6.1516113,4.0292835,2.8088055,2.164451
-0.35399391125348395x1.9050636405600176x1,2.9143558,5.6130342,4.4146223,3.1091459,9.305273,10.924747,8.819253,8.455537,7.293858,5.7161717
-1.3749512934180188x-0.014777219659844777x1,1.0537399,1.6929885,2.948784,1.2574891,2.9190087,4.07831,4.450654,3.938205,3.1965349,4.855545
-0.6436184028328905x-0.3004787855854223x1,0.7572226,0.8633143,1.4565561,0.6248453,1.7660339,3.1630123,2.1451728,2.87318,2.0871215,2.2839065
-2.2234031522244266x-0.3550287310553741x1,1.2004541,1.3720934,2.0653238,0.9557017,2.2691555,4.0989623,3.3814156,4.407086,3.022197,2.9359903
0.6252314510271875x-1.8923618933173414x1,0.33979028,0.5696682,1.0200673,0.41272002,0.6952464,1.7912108,0.85327,1.1225724,0.69111747,0.7368959
-1.6020576556067476x-0.17781314370301254x1,0.96644586,1.531159,4.0934615,1.0480906,3.137989,5.092607,3.541277,3.7792501,2.7017295,4.158475
-1.1043833394284506x0.25099811600832395x1,1.7300484,2.5244126,3.8191764,1.4285672,6.163959,9.063963,4.3745146,7.2929096,6.980516,6.991941
0.052165079260974405x1.0547579251802828x1,1.4440756,3.0850732,2.6016877,1.5844165,4.378514,5.5499206,5.4971786,4.02276,3.2441483,2.1864846
-0.7395629963913133x0.9600477411499279x1,1.7125508,2.3122904,2.3720524,1.42185,3.818418,3.754933,4.2935243,5.339767,3.6731665,4.404812
1.5430145954067358x-0.4164990824366925x1,1.0909888,1.8867471,4.519688,1.2006469,2.5180104,5.3089924,6.0508523,4.206798,3.2434127,2.52611
-1.2928569097234486x-0.27682299477388833x1,0.86743385,1.1143706,3.0806208,0.86385316,2.670495,6.727537,3.3420055,4.2303133,3.1875045,3.5464344
0.26705086934918293x1.123905305614439x1,1.4740735,2.7352622,2.9993784,1.1656749,3.2694294,5.179394,4.587978,3.7910357,3.652903,1.8830851
-0.0392828182274956x-0.17346389707287913x1,0.70974046,1.5150023,2.967969,0.7613727,2.8965864,4.1547246,3.4703262,2.92813,1.9240034,2.4349809
-1.1680934977411974x-0.5100295397556169x1,0.8751777,1.074055,2.6235895,0.7415994,2.0571108,6.8785725,2.541415,4.3228946,3.3171809,3.8620791
0.5232766605317537x1.3925184494342724x1,3.2273035,4.9141135,5.0133557,3.1648736,5.6513577,8.411237,7.7494636,6.1872597,5.271826,3.254074
-0.1715463312222481x1.037585667050634x1,1.6214496,3.0965576,2.6135995,1.6167324,4.962672,5.7447534,5.5285974,4.644744,3.9248145,3.556023
0.7717905512136674x0.018791791774257802x1,0.89354885,1.4007493,4.0984964,0.97232115,2.5006707,3.8068175,3.5271745,3.0006285,2.0901275,2.240192
0.8235041539637314x-0.5937774477786675x1,0.72261274,0.9149632,3.6825683,0.785481,1.8252447,4.8099284,2.365486,2.8091035,1.8014685,2.1216383
2.16323594928069x-2.011880319244709x1,0.54804856,0.6929434,1.161474,0.73334014,1.0382917,1.5329818,0.981696,1.4914033,0.84236807,1.1676438
1.336527949436392x0.5897036055747239x1,1.7119943,3.5702736,7.7509265,1.9997649,7.2037215,8.2129965,9.890692,7.0759044,6.1586337,5.180216
-0.3691818379424436x-0.8963697225521802x1,0.6914798,0.91627276,1.0177199,0.65164214,1.7106131,2.9043422,1.5275061,1.6698972,2.4377904,1.3286971
-0.2393791775759264x-1.962732009140752x1,0.30540368,0.49559042,0.45908508,0.37701723,0.5772844,1.6553996,0.65743464,1.0452596,0.6568005,0.5161347
1.0996595958871132x1.584820527349018x1,4.292246,4.8979993,10.876986,3.5217524,7.958542,9.780614,11.906393,8.812409,5.959137,5.807551
0.6552637307225978x0.6479677910098883x1,1.3999677,2.7857943,5.9565506,1.6252695,4.4759374,6.0271425,5.44734,4.1748877,3.4128556,2.8297813
0.640131526097592x-1.1390081931169653x1,0.53568625,0.67371947,1.2255104,0.5000741,0.9557042,2.2873323,1.3433349,1.5890899,1.1857249,0.90366244
-1.6169560443108344x-1.214401382959259x1,0.69398725,0.7170244,1.2558324,0.6920007,1.3518319,3.0679371,1.4386591,2.306544,2.1124642,1.8300232
-0.024326124398935636x0.8709617821716196x1,1.2057555,3.2085772,2.3359032,1.4909848,4.372988,6.357938,5.8896346,4.072587,2.6419847,2.755699
-0.7380309092056887x-0.8779706165358702x1,0.8169491,0.82050186,1.1985664,0.6700558,1.5700206,2.3513205,1.6470152,2.0982091,2.1911552,1.7417258
0.27992459904323824x1.2961498675278833x1,2.1338303,3.6813633,4.166318,1.6040242,4.606031,6.383288,6.947384,4.74575,4.550073,2.29133
-0.09815038964295794x0.6164593126261553x1,1.1735212,2.2076228,2.663363,1.2795951,5.024622,4.2688932,4.1774035,3.9052374,3.2443867,4.241162
0.9101789080925919x0.5365965205668235x1,1.413498,2.1853704,5.2363453,1.4075272,5.054926,6.4843216,6.2056828,5.0477834,3.5108852,3.3231044
0.31721821519130206x0.4046954556143003x1,1.4517915,2.1565201,3.270922,1.0403873,2.9933252,5.9415574,5.6489363,4.5918393,3.8118236,2.4305947
0.7863279621089762x0.19145087202391178x1,1.2593695,2.1381357,6.5967703,1.3341261,4.530697,7.548935,4.1694517,4.1086774,3.412303,3.3554776
-0.46641909673594306x0.8805111991771105x1,1.6544641,2.9545221,2.2391224,1.8208797,4.779286,4.7627454,4.8707614,4.048277,3.18018,5.5313416
-0.9444462559182504x-0.45408036251560513x1,1.2320585,1.5258108,2.2248368,0.97567755,2.8106914,6.8895326,3.4852543,5.0085425,3.7768047,2.7900329
-0.41004969320254847x0.08595197343438468x1,1.0186182,1.4378645,2.4743876,1.0134827,3.2856035,4.283293,2.781487,3.4801536,2.95732,3.5962846
-0.017020413861440594x0.7519465876771957x1,1.1471448,3.0249887,3.2810109,1.6798433,4.9958797,7.267955,5.7219043,4.022701,3.1925373,2.9197834
0.3791517355550818x0.5629897185861278x1,1.4516884,2.2381318,4.719874,1.2014508,4.2920704,4.3025455,7.3876996,4.3424263,3.1482048,2.2384267
2.259308950690852x-1.1949868052686603x1,0.75238454,0.82076937,1.5639015,0.7754772,1.3904706,2.629601,1.7041167,2.3958914,1.845822,1.4775347
-0.04225715166064269x-0.500409667304264x1,0.6241681,1.0893314,1.683668,0.69225955,1.7140461,3.6012595,2.387335,2.4891748,1.7063532,1.6716876
-0.955945000492777x0.25280350541915453x1,2.047578,2.780577,3.504368,1.5889112,6.694134,9.110786,5.234131,7.1191344,7.230192,6.3788414
-0.34598177569938643x-0.4080147090398969x1,0.9172121,1.3203499,1.8868219,0.73871803,2.228817,4.7045646,3.4677398,3.562428,3.1484993,1.5954697
-0.4635959746460942x1.7746585609733332x1,2.8416462,4.6248703,3.5645244,3.2625487,8.665277,8.683448,7.4150033,6.6428113,6.048799,6.76727
0.4814814737734622x-0.39315319475411287x1,0.9307501,1.3950616,2.3624973,0.84628856,1.6646372,4.0983877,3.572954,3.1845706,2.2105012,1.9309783
-1.5407970144446248x-0.16221844757669085x1,0.9437483,1.5858786,4.4472237,1.0720417,3.3024056,5.271244,3.6455638,3.7012215,2.694735,4.3986025
0.06326199420033171x0.7694301781773039x1,1.3203704,2.8660793,3.6935196,1.7814426,4.547582,7.0993247,5.5230527,4.1097746,3.3250299,2.4952273
0.1565065379653756x0.33053274323491577x1,1.4071262,2.0483487,2.9753277,1.278107,3.504393,5.392381,3.9879277,4.581778,3.7299812,2.3615644
0.23218103620027578x-0.14527445720476923x1,0.6575444,1.3887968,2.8911436,0.5800102,1.6996391,3.315674,2.1487396,2.6049914,1.5722876,1.7663991
-0.5973160689653627x-0.7564935288807483x1,1.0627416,1.1939266,1.4980062,0.7416135,2.1149917,3.4240253,2.2733583,3.4828331,3.4416983,2.8431983
-0.237921729736007x0.3015140573967662x1,1.3457246,2.745593,2.6213183,1.4436445,4.5023217,5.828462,4.925626,4.519723,3.9987078,2.9973176
-1.4240609089825316x1.0390964403783927x1,1.8227084,2.968526,3.5871363,2.044574,6.04786,6.774764,6.1388793,5.7738657,5.3601403,5.9501424
-0.49331988336219407x0.4790952240982286x1,1.4513998,2.176675,2.3361688,1.3468568,4.4010024,6.094362,4.791563,4.367363,4.8276772,4.5412154
-0.5428614760167177x-0.7781835214561222x1,0.89054143,1.054348,1.2878028,0.69826204,1.8283768,3.148409,1.9386922,2.7036023,2.7172465,2.3065271
0.4160500462614255x1.7367749569767108x1,3.712155,5.97705,8.703377,3.7457018,8.568487,10.89791,14.687118,8.648279,6.058101,4.3317604
-1.1561824318219127x-1.4465778900358943x1,0.51023775,0.60411984,1.3231652,0.4787363,1.2383984,3.9203086,1.1591891,2.30016,1.8409693,1.4437441
0.7811981017099934x-1.582685641802789x1,0.4408884,0.5288699,1.2204193,0.5006284,0.868031,1.7523851,0.96088076,1.2285908,0.817641,0.7436136
1.4944845444913688x0.9605572244572284x1,1.9418571,4.7432947,5.37336,2.2537744,5.832487,7.1551695,10.398621,6.225697,4.7003164,4.967958
-2.0699850250135325x0.2258404786026901x1,2.2255077,2.6851027,3.8479095,1.934113,5.9137554,7.3519783,4.989116,8.560973,6.385187,7.945555
0.42625873077810095x-0.5494985463040403x1,0.77984256,1.1245584,3.0075765,0.8524722,1.7421216,4.685103,3.0855708,2.9294856,1.8329709,1.740198
0.6769080350302455x-1.0985707275553296x1,0.5366402,0.70697105,1.245106,0.4942208,0.9670173,2.259306,1.427885,1.5659474,1.1610383,0.9019237
-0.637437025552229x2.320799839280298x1,3.1604702,4.8324842,4.4345155,3.0992103,9.078773,7.7207294,8.1780615,10.728504,7.0523405,9.183945
-0.39727181432879766x0.11709087215544195x1,1.0600512,1.5838939,2.5697007,1.0395879,3.7158706,4.8679934,2.9587333,3.5967488,3.2281504,3.4264882
-0.13288057758695562x0.5342011708457715x1,1.2383881,2.1778314,2.5365865,1.2209715,5.0967975,4.3455935,4.4246516,4.3260922,3.6955,4.374124
-0.2977908794017283x0.3178850972381816x1,1.4009058,2.6812785,2.6118426,1.3606269,4.7587442,5.930757,5.032873,4.710195,4.282843,3.1729107
-0.3090129690471222x0.43480795773115793x1,1.6663022,2.6470246,2.7401633,1.236736,4.506371,8.236793,6.2941866,5.18139,6.238958,2.8396971
-1.6760038063299767x0.5400944605248059x1,1.6203387,2.5651293,4.1224666,1.6517085,6.1054153,6.4227424,5.5603156,6.1037436,6.0999155,6.494234
1.15233156478312x0.7324240097548762x1,2.1403759,3.1310925,8.0246525,2.4162652,5.4599104,7.594992,7.543608,5.486268,4.4074388,4.4380646
1.079618592036821x-0.3752224007606727x1,1.3828976,1.4915258,5.646275,1.0679817,2.3452518,7.4337835,5.557731,5.522431,2.523426,2.7295005
-0.8133642592042029x-0.2916419863518446x1,0.91223365,0.85900235,1.7760886,0.6674112,1.6574068,4.490953,2.6007662,4.252186,2.05138,2.1989129
-1.466424327802514x-1.7410228083589014x1,0.5394676,0.6760006,1.1870351,0.6215895,1.2327135,4.9314857,0.99181616,2.714573,1.4976263,1.6406469
0.5210648764527586x-0.7803044065015394x2,0.7333692,1.060305,1.887879,0.6158713,1.5142542,3.2492602,2.316419,2.6091244,1.9983064,1.46519
-0.5757879698130661x0.2711127964467149x2,1.725433,2.5529485,2.8760085,1.5238066,5.861219,5.5101743,4.1677537,6.279894,4.8408217,7.439209
0.14195316332077967x1.0450233755026905x2,1.611496,2.4256973,2.682651,1.559351,3.1988275,4.8036404,4.04129,3.7289968,3.3971524,2.033542
-0.3193284171450952x0.5990395263761841x2,1.521612,2.9094038,2.9376686,1.440616,6.466631,5.9123597,6.7620754,5.057745,5.7036214,3.6291182
0.6915387510701866x-0.34069234387793046x2,0.77601224,1.1072649,3.0878413,0.7512076,1.7562795,3.9751208,2.849819,2.7630699,1.5796735,1.6125693
0.6947491436560059x-1.2631729120851543x2,0.49433053,0.6330093,1.3199137,0.5055849,0.9429499,2.015771,1.1570476,1.3888128,0.9987545,0.796943
-0.7255973784635843x-2.7773591454274333x2,0.48248914,0.59024143,0.7117391,0.43548402,0.8104827,2.0589192,0.7999953,1.6694111,0.90645987,1.0563812
-1.3833639553950554x1.151733974780799x2,1.8585465,3.0217574,3.7357895,2.0727184,6.3199534,7.5049706,5.865752,5.9150324,6.3876715,5.269309
-1.582938397335082x-0.5892289865101498x2,0.8203344,1.044843,2.7555447,0.90157646,2.0504706,5.628141,2.361823,3.3852446,2.688999,3.5500853
0.6103793791072052x-0.44846500620405927x2,0.86861557,1.3680277,3.077326,0.8471339,1.7680064,4.1005335,3.2118175,2.9964397,2.0013103,1.8186256
-1.188859257784029x0.13157396790806872x2,1.3993832,1.9057388,4.265936,1.2852513,4.678848,8.03832,3.7614202,5.817545,5.3271337,6.1174674
-0.5068163542986875x-1.4055600473918899x2,0.5745813,0.6130675,0.8626373,0.52538055,1.1152292,3.1479542,0.9525968,2.185179,1.4810678,1.432339
-0.5963140384505081x-0.3497821801115369x2,0.7850624,0.97053343,1.5921148,0.6804367,1.9022839,3.580161,2.3476176,3.0169773,2.223943,2.2620184
-0.05256729626954629x2.023471949769974x2,2.4324799,4.275731,4.2529163,2.4990127,7.2303925,9.2451725,8.196769,7.344323,4.868109,5.316473
-1.936279805846507x0.5053869385773427x2,2.193693,2.9669757,3.6292639,1.687757,5.986672,7.986754,6.2915945,8.21233,8.261401,7.248506
0.18877859679382855x0.3592491565134564x2,1.4039403,2.0701158,3.1150749,1.1479858,3.2856603,5.856529,4.410069,4.489523,3.9136548,2.3006616
0.5238910238342056x-1.5824944779817585x2,0.44961548,0.66231364,1.17675,0.510915,0.88113564,2.4914982,1.0242023,1.6094174,1.0512005,0.9242452
0.08842208704466141x2.2436018945826404x2,2.5587547,4.323158,4.977058,2.680719,6.307839,9.025253,7.700523,6.6569066,5.1513305,3.516417
-0.3108861716984717x-1.4227949086263427x2,0.46114117,0.48925516,0.7530285,0.40498894,0.781055,2.2958672,0.876285,1.6302296,1.1046519,0.7682877
0.09740016626878341x1.9223247554443985x2,2.5674152,4.2620606,5.073727,2.6750548,6.1715517,8.7660885,7.53896,6.567201,5.170897,3.475669
0.3990463456401302x-2.1150560151878075x2,0.39456,0.57975805,0.82501423,0.4382985,0.72337395,1.9505811,0.9005689,1.3073157,0.6878189,0.634845
-2.77259275642665x1.4053654387244203x2,5.5288324,5.541947,5.6879535,4.2128134,8.9315405,11.019996,9.667084,16.256645,11.122756,8.079079
1.9559123082506942x1.6180542690002255x2,4.081485,6.030181,9.251972,5.0407095,10.8370075,10.767104,11.269246,10.739362,9.075674,7.8471613
0.39009332268792646x-0.8244091213278346x2,0.8029152,1.0380808,1.7233458,0.66282755,1.4601728,2.2415423,2.4346087,2.1632688,1.6028612,1.1444242
-0.65240858238702x0.42258037227288275x2,2.0819886,2.6660292,3.0339315,1.3522712,5.2211137,6.845822,5.8057804,7.5789146,6.754975,6.8696084
-0.3909533751876011x0.547480572104665x2,1.681746,3.0547457,3.1734622,1.4088786,8.136871,6.620539,7.1923733,5.864513,7.168872,4.8400826
0.49374177734918845x-0.8137944832313059x2,0.7298297,1.0198116,1.7078128,0.6245022,1.4452627,3.0067163,2.2081206,2.4138591,1.8548083,1.3819357
-0.11610393903436653x-1.4491176107369304x2,0.404606,0.47827277,0.7253123,0.3701194,0.86116177,1.8270347,0.6370759,1.422542,0.9069477,1.0411451
-2.0306844677814944x-1.3177173431407654x2,0.7409563,0.7104372,1.0749351,0.6078706,1.1919571,2.2911959,1.4038906,2.109364,1.7824907,1.3740244
2.0644928613593194x0.5410082199598076x2,1.6075923,2.9862986,5.5469856,2.0682833,7.193179,7.2867894,7.210934,6.1195407,6.034471,4.7819295
-0.11054065723247261x-0.08511560251940574x2,0.79622316,1.3700646,1.7666237,0.7365378,2.2988753,2.795783,2.7343915,2.7695334,1.8062592,3.5522394
1.0201727117157997x-0.5643010333021604x2,0.8205188,0.96535236,4.302596,0.8186188,1.7926884,5.2716355,2.8445275,3.2662556,1.9872133,2.7893872
-0.6920498477843912x0.9667680111664602x2,1.8135812,2.5327475,2.5691745,1.4782255,4.20017,4.481498,4.831317,5.975381,4.1738935,5.0061436
1.5363770542457977x0.5080679093914777x2,1.696674,3.6058557,7.732268,1.9662952,6.680038,10.740857,10.386024,7.2243557,7.45574,5.3313537
0.28634368889227957x-0.7554627263656334x2,0.6382865,0.9794314,1.5977467,0.44988444,1.154136,2.6812427,1.8888113,2.3928576,1.5819274,1.0789111
0.6088438344754508x-1.2012015190173893x2,0.527338,0.6488632,1.2231001,0.5057658,0.94596213,2.2776911,1.2491342,1.5834073,1.185726,0.90355736
-1.0452533661469547x0.5232617386880769x2,1.657561,2.4724813,3.337528,1.3649133,5.283358,7.744778,5.4013834,6.3797665,6.4289804,5.2142224
1.2111452896827009x-0.5375833685580619x2,0.90073586,1.2081097,4.754891,0.93309695,1.9643819,5.758247,3.7156913,3.6580667,2.4247003,3.0143147
0.6898181645347884x0.09920486253150243x2,1.0957599,1.780459,6.8614635,1.168173,3.2772439,4.8339367,3.2845984,3.4774954,2.5248418,2.7432861
1.3018462295649984x1.5762989726277177x2,3.8611546,6.9899344,12.062103,4.300508,9.499404,11.891373,15.426947,9.202536,8.233641,6.1986012
-0.6280875596415789x0.5023282400747796x2,1.661998,2.4332495,2.8971272,1.2980204,4.9185457,5.7998548,5.4855876,6.4040084,5.746526,6.081769
-0.4810271184607877x-0.8622669997532367x2,0.74903154,0.9860636,1.2005577,0.7923092,1.9685661,2.5256712,1.6231666,1.7507957,2.10314,2.1545954
2.303916697683942x0.16066118981977281x2,1.5175794,2.4873428,6.256289,1.9539276,5.7394977,7.357795,4.8871684,5.526639,5.181851,4.982181
-1.0600158227215473x-0.9526449528153877x2,0.72097784,0.70655686,1.1048795,0.54610986,1.7088025,2.9192994,1.2555269,1.8882539,2.412398,1.5105281
-0.13594970067832082x1.6085221559487237x2,2.4562035,3.9525728,4.1561093,2.468255,7.1730785,7.211412,6.6161003,5.8760004,4.8851833,4.9816866
1.1368913626026953x-0.5615787496032209x2,0.84329855,1.0325325,4.4829164,0.84639347,1.7937857,5.388491,3.0971339,3.3872385,2.137832,3.0076113
0.0977249677148556x0.20727074697361864x2,1.1497209,1.9210926,3.6780255,1.254806,3.7682393,5.7454295,3.599571,3.7101376,3.2416012,2.4039521
0.5829536797532936x0.307732574679432x2,1.5000036,2.6101317,4.1083183,1.4153965,3.825811,5.4898396,4.9143496,4.6850038,3.4793892,3.3855336
-0.3994490292628752x0.15925046837370244x2,1.1421717,1.7903615,2.6468534,1.1293094,4.3394103,5.6979995,3.242941,3.713176,3.6249483,3.4974532
0.37005588784751875x-1.9585489551365387x2,0.38889587,0.5590903,0.7812877,0.41303807,0.7001575,1.8647825,0.87742317,1.253444,0.6619323,0.5970078
-1.3065268517353166x-1.4464210639833286x2,0.5517758,0.6190353,1.4177762,0.5711938,1.321177,3.6562505,1.1707507,2.2224638,1.7922331,1.6747459
1.658130679618188x-0.4523502755690917x2,1.0677142,1.7057455,4.1575494,1.1920277,2.4096823,5.252293,5.050647,4.1110716,3.0512798,2.577448
-0.11816404512856976x0.31943183333153063x2,1.4689634,2.245489,2.5019474,1.2173316,4.62754,4.8281894,3.7390187,4.629207,3.4446087,5.623654
-0.6801782039968504x-0.13777921428577067x2,0.805295,1.3084149,2.131294,0.71503234,2.15032,2.7258883,2.398976,2.930527,1.7964805,2.8131447
0.6663830820319143x-0.9571474731510168x2,0.5732833,0.7568293,1.339012,0.5535609,1.1713475,1.8953952,1.4354496,1.3264493,1.2745433,0.9843886
-0.4607197873885533x-1.348424319121701x2,0.56874186,0.6313402,0.86668193,0.5303802,1.1013749,3.4128518,1.0593942,2.260495,1.5483823,1.356373
-1.3342584714027534x-0.4015575444993436x2,0.9439921,1.2908667,3.0825312,0.9469081,2.4237924,5.978246,3.5436845,4.160457,3.2229612,3.1012828
-1.3467175057975553x-0.46847604467972315x2,0.90448457,1.2379194,3.0656617,0.931816,2.2931967,6.0345073,3.1711524,3.968802,3.0998979,3.3245666
0.6937731526901325x0.5128364575927566x2,1.3373928,2.3169413,4.9214196,1.264973,4.10855,5.553388,4.9184103,3.8302479,3.2440941,2.5109735
-0.1595734381462669x-0.3263184621583181x2,0.8116766,1.090583,1.9451511,0.72348493,2.0888429,4.391947,2.9971917,3.1996984,2.3836904,2.1051521
-0.13370155966843916x0.6027076564293296x2,1.2165469,2.2407987,2.6134677,1.3017426,5.1516194,4.217832,4.3690896,4.0711994,3.4526672,4.2619114
1.0777438059762627x-0.5946497697204054x2,0.79174906,0.89996165,4.0357146,0.75318563,1.626305,4.9653025,2.6280434,3.1994107,1.8823713,2.8175318
-1.1268258087567435x-0.2559576692142683x2,0.8755496,1.1205909,2.577012,0.7631796,2.3315675,6.085042,2.8764458,4.355936,2.7454257,3.1562426
-0.7306777528648248x-0.3480463796426194x2,0.8200838,0.8994254,1.5486405,0.63248026,1.544749,3.3642938,2.3741627,3.346009,2.0421042,2.0220866
-0.38487980918127546x-0.7823669669020897x2,0.7707048,1.0658375,1.2568966,0.6295398,1.7126615,3.787308,1.8390046,2.9189162,2.5739703,1.6689812
0.094351589317074x0.6251186564337302x2,1.0556321,1.9003776,3.0045571,1.2497318,3.2218435,4.3386054,3.584407,2.9775436,2.8024116,2.0516362
-0.042171451290578935x-0.813595997094507x2,0.7210356,1.0350479,1.1293122,0.62545,1.5644525,2.9113543,1.830031,2.300358,1.7797601,1.3860145
-0.2868871923899076x-0.521641509970619x2,0.6748936,1.1143241,1.8303841,0.7506892,1.7607772,4.5339994,2.4409535,2.6552377,2.2347345,1.545654
-0.0616264020956474x-0.07311964594819724x2,0.73736995,1.458684,1.9341236,0.76344144,2.3321586,2.9112809,3.1588948,2.5740707,1.8248403,2.8739715
-0.10730527629117469x-1.2973796559567399x2,0.45361933,0.5285095,0.768694,0.39537805,0.9098931,2.0289462,0.92157614,1.602822,1.1693993,1.0885196
-0.7196043885517929x-0.3249349583204991x2,0.81572443,0.8718581,1.5412174,0.6290118,1.5941395,3.4059148,2.322313,3.3335047,2.0314178,2.1130104
-0.8129929885540773x-0.7113063597427886x2,1.1366237,1.1693447,1.9115652,0.86938375,2.211879,5.017626,2.7735512,4.6739283,3.617561,2.9830909
0.2745163577239395x-0.3881541924822496x2,0.8568891,1.279986,2.0660489,0.6439001,1.5952543,3.5548072,3.0080626,2.8102968,2.075328,1.2463816
-0.8909150829955279x-0.05992800267109062x2,0.918451,1.4648733,2.0236325,0.91906524,2.3404238,2.9874249,3.0820818,2.9632185,2.4618855,2.9016669
-1.1573552591908536x-0.7999136231406647x2,0.78079623,0.89634705,1.5203891,0.61372995,1.841272,3.810177,1.593339,2.7667444,2.867048,2.157977
-0.3122922511256933x-0.2200757798203556x2,0.75592965,1.3136775,2.3028083,0.7479068,2.5594912,4.7601137,2.6984308,3.0675528,2.289058,2.004512
-0.1576670161638159x1.3086687523521792x2,2.200838,3.7989073,3.4693027,2.2336047,6.522536,6.969413,6.2293477,5.195072,4.985658,3.8127742
2.2567234972982093x-0.02579855825448711x2,1.0106015,1.8377289,3.0962377,1.342945,2.819875,3.1974275,4.467529,3.44299,2.9908838,3.2533133
-0.7047002758562337x1.1452621730192247x2,2.020104,2.605249,2.548603,1.7331028,4.5897694,4.247797,4.5560555,5.544845,5.4195104,4.5709996
0.9432607249694948x0.3464944420067607x2,1.4669212,1.8966717,4.413073,1.3016373,3.8829467,6.165694,4.7463675,4.673564,3.110145,3.374828
0.7471883342046318x0.7741606098188164x2,1.5453985,2.8495243,5.8142967,1.805566,4.378719,6.67587,5.452282,4.233657,3.2098184,2.9522889
-1.188944955203736x-0.7744589687708259x2,0.82667583,0.9775602,1.6692666,0.6610698,1.8801363,4.174597,1.7638874,3.1559196,3.0600102,2.3962061
0.7732529774025997x0.10490716508551272x2,1.1291406,1.6795287,6.257028,1.2111039,3.505045,5.356723,3.7400272,3.7937195,2.6146998,2.8660579
-1.1838806401933177x0.1339129226154759x2,1.4105132,1.9256603,4.2589803,1.2845384,4.7398806,8.156713,3.7613916,5.8718534,5.399535,6.1454844
-2.659172237996741x-0.6126257388749357x2,0.9976668,1.1151066,1.9663733,0.92064613,2.110844,4.1676683,2.0744367,3.5414026,2.890981,3.4936197
0.6063195243593807x-0.8228283242942818x2,0.62565124,0.86358523,1.5261776,0.5498189,1.2840818,2.253192,1.6894122,1.7557229,1.4544181,1.1164147
-1.7558905834377194x-1.4902653879072982x2,0.628789,0.6302369,1.1989625,0.6111628,1.2092508,2.5732718,1.1651036,2.0177653,1.5195315,1.4474243
0.45093446180591484x1.496139636951632x2,3.8251579,6.0295863,7.0015373,3.7524762,7.623697,10.274874,11.552167,7.631449,6.117928,3.8158014
-0.6840108977372166x-0.9724028893524976x2,0.6956712,0.69462603,0.9450161,0.55214995,1.3062562,2.0858388,1.3096411,1.833059,1.7903917,1.505045
1.6595507961898721x1.3462210732223001x2,3.3362598,6.159542,8.782993,4.0383077,8.90383,10.035936,12.069095,8.254393,8.120457,5.4656234
1.068509399316009x-0.4674931736578535x2,1.1311613,1.3256844,5.134232,0.9954052,1.9660989,5.713133,4.286965,3.9479764,2.2345598,2.6028748
-0.45338580385138766x-0.8624932997247339x2,0.7390849,0.97958165,1.1714896,0.7541886,1.9039187,2.6751258,1.6192895,1.8089697,2.194193,1.953951
-0.6878376110286823x0.6225191403049977x2,1.4870429,2.3146474,2.900318,1.4137715,4.686434,4.754093,4.942931,5.5319514,4.6747622,5.3936896
-1.2140774030941206x-0.6311919417468571x2,0.8192046,0.99725336,2.4486034,0.7400005,2.0643795,6.380119,2.0852664,3.8408422,3.253563,4.0430317
-0.4409226322925914x0.5684589189242769x2,1.4281595,2.5911086,2.6554763,1.4602216,6.501554,5.299154,5.208163,4.518002,5.219599,4.8704295
-0.2803554951845091x-0.3328117648522096x2,0.887019,1.2329241,2.1040547,0.80099285,2.2840474,5.3849688,3.0554383,3.5478172,2.6270874,1.7480159
-0.3646935443916854x0.48042449611778676x2,1.7233496,2.9989748,3.11548,1.3052838,6.528983,8.364816,7.455662,5.863872,7.5221267,3.733311
0.15670385527236397x-0.9681860639071049x2,0.5447015,0.6533014,1.0129561,0.52466625,0.99167675,2.0165253,1.1734215,1.438577,1.3436741,0.80809873
0.5785214977288784x0.8313510579847683x2,1.6718417,3.4031408,5.0963006,1.9134899,4.2828417,7.092645,7.661163,4.9644504,3.353749,3.255958
0.349654456993174x0.4879726826630046x2,1.4798493,2.1987803,3.7884479,1.1399894,3.4184797,5.622327,6.592341,4.7110515,3.6829157,2.441336
-0.764143923906443x-0.9196506900626618x2,0.73375094,0.71174395,1.1049808,0.61626375,1.3490312,2.0856252,1.4693985,1.819068,1.9307537,1.4604548
-1.4377914738015785x2.6429357210147417x2,3.2841442,4.7083316,8.03829,4.6481514,11.65555,9.666082,8.754619,9.481424,9.448229,12.686613
1.3645318481024713x0.540123026400494x2,1.654609,3.533103,7.842637,1.87754,7.084797,9.017351,10.393099,7.357628,6.636326,5.344779
-0.6894491845499376x2.2904670705305388x2,3.154318,4.628273,4.6382136,3.0714867,8.687872,7.3054285,8.189913,10.837051,7.1432242,8.763526
-0.6522935999350191x1.6002678187487591x2,3.1890957,3.8484278,3.7433383,2.5812492,7.006477,6.4727054,5.8971367,8.141218,6.6892686,6.322016
-0.5211893123011109x-0.1888347802177838x2,0.8480906,1.3860661,2.5014374,0.8222217,3.0459783,4.618408,2.6764693,3.3545916,2.4682498,3.4336693
-1.8430695501566485x-0.4122717546045429x2,1.1534802,1.4309808,2.3884087,0.98233944,2.2384355,4.22206,3.5722625,4.388046,2.9945848,2.7509282
-0.4779740040404867x-0.4034591834208012x2,0.9079157,1.2778327,1.947517,0.916977,2.3802662,4.8973403,3.1979403,3.638385,2.6940424,2.5875478
